Year,Fecha,Fase_geo,Banco,UGT_geo,SPI,UCS_MPA,RQD,TOTAL_MASS,M,M1,M2,M3,M4,M5,M7,M8,F80,AXB,UE_AXB,Fase_cat,MES_A_O,Fecha_de_tronadura,Fecha_Fotos,Fase_tron,Mallas_Tron,Malla_Med,Tipo_de_tronadura,Tipo_Material,Dominio_Estructural,Di_metro,BxS,Tiempo_entre_Pozos_Filas_ms,UGT_tron,Fc,Tipo_Explosivo,Taco_Gravilla_Aire,Comentarios,Pala_Cargador,Nro_Fotos,_1_1_4_In,P20,P50,P80,P100,Este,Norte,Cota,ton_por_hora,Burden,Espaciamiento,year,is_F9_or_F7,fc1,fc2,FC,tpozos_ms,tfilas_ms,taco,gravilla,aire,Fecha_tron_pri_prod,taco_gravilla,taco_intermedio,taco_aire,BxS_2,Taco_str,BxS_gravilla,BxS_gravilla_intermedio,BxS_cat,BxS_Taco
2017,2017-01-01,F8NE,2930,UGT-2,73.9849162,128.876623,87.4847282,5368.0849533,M4,0.0,0.0,0.0,5368.0849533,0.0,0.0,0.0,99.7399725,34.3025266,34,F8,ENE,2016-10-31,2017-01-01,F8E,04-05-A,5.0,Cierre,Primario,Noreste,10.625,6.5x6.5,11-105,,498,Blendex 950,Taco Crítico Full Carga,nan,PH04,7.0,,0.55,2.6,6.5,15.08,59095.2,90292.2,2930.0,6021.0,6.5,6.5,2016.0,No,498.0,498.0,498.0,11.0,105.0,,,,,,,0.0,,,,,6.5x6.5,6.5x6.5
2017,2017-01-01,F10N,3575,UGT-6,79.658151,83.0,44.08691,35657.952634,M8,0.0,0.0,0.0,0.0,0.0,0.0,35657.952634,83.9027545,36.4566996,1,F10,ENE,2016-12-31,2017-01-02,F10N,10-A,10.0,Producción,Primario,Norte,10.625,7.0x7.0,5-87,,507,Emultex BN,nan,nan,PH05,7.0,,0.79,1.89,4.88,11.46,59238.4,91671.4,3575.0,10319.0,7.0,7.0,2016.0,No,507.0,507.0,507.0,5.0,87.0,,,,2016-12-31,,,,,,,,7.0x7.0,7.0x7.0
2017,2017-01-01,F7R1,2990,UGT-4,84.9385986,105.3620148,54.111786,148.5399511,M8,0.0,0.0,0.0,0.0,0.0,0.0,148.5399511,90.464076,35.9574738,1,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017-01-01,F7R1,2990,UGT-1,107.5999985,106.2270203,20.0,1984.2512837,M8,0.0,0.0,0.0,0.0,0.0,0.0,1984.2512837,84.510568,26.5900002,1,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017-01-01,F7R1,2990,UGT-1,107.5999985,52.1321793,20.0,39.8166924,M8,0.0,0.0,0.0,0.0,0.0,0.0,39.8166924,84.510568,26.5900002,34,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017-01-01,F7R1,2990,UGT-1,80.4131393,51.5568581,95.67247,314.9352097,M4,0.0,0.0,0.0,314.9352097,0.0,0.0,0.0,103.747958,33.4966431,34,F7,ENE,2016-12-30,2017-01-11,F7R1,31-A,31.0,Cierre,Primario,Noreste,10.625,7.0x7.0,5-87,,514,Blendex 950,nan,nan,PH07,7.0,,1.1,3.6,6.4,14.5,59292.5,90477.1,2990.0,,7.0,7.0,2016.0,Sí,514.0,514.0,514.0,5.0,87.0,,,,,,,,,,,,7.0x7.0,7.0x7.0
2017,2017-01-01,F7R1,2990,UGT-4,85.6726456,105.8824921,20.0,277.9607542,M8,0.0,0.0,0.0,0.0,0.0,0.0,277.9607542,68.914688,35.3521729,1,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017-01-01,F7R1,2990,UGT-1,75.3096636,52.7269016,98.3072138,20.9182945,M4,0.0,0.0,0.0,20.9182945,0.0,0.0,0.0,104.5413879,34.1295533,34,F7,ENE,2016-12-30,2017-01-11,F7R1,31-A,31.0,Cierre,Primario,Noreste,10.625,7.0x7.0,5-87,,514,Blendex 950,nan,nan,PH07,7.0,,1.1,3.6,6.4,14.5,59292.5,90477.1,2990.0,,7.0,7.0,2016.0,Sí,514.0,514.0,514.0,5.0,87.0,,,,,,,,,,,,7.0x7.0,7.0x7.0
2017,2017-01-01,F7R1,2990,UGT-1,75.6063614,62.4012871,98.755295,19.2767017,M4,0.0,0.0,0.0,19.2767017,0.0,0.0,0.0,105.148058,33.3931999,34,F7,ENE,2016-12-30,2017-01-11,F7R1,31-A,31.0,Cierre,Primario,Noreste,10.625,7.0x7.0,5-87,,514,Blendex 950,nan,nan,PH07,7.0,,1.1,3.6,6.4,14.5,59292.5,90477.1,2990.0,,7.0,7.0,2016.0,Sí,514.0,514.0,514.0,5.0,87.0,,,,,,,,,,,,7.0x7.0,7.0x7.0
2017,2017-01-01,F7R1,2990,UGT-1,73.380424,44.1357442,98.1754047,5374.3172251,M4,0.0,0.0,0.0,5374.3172251,0.0,0.0,0.0,104.3633088,34.3620835,34,F7,ENE,2016-12-30,2017-01-11,F7R1,31-A,31.0,Cierre,Primario,Noreste,10.625,7.0x7.0,5-87,,514,Blendex 950,nan,nan,PH07,7.0,,1.1,3.6,6.4,14.5,59292.5,90477.1,2990.0,,7.0,7.0,2016.0,Sí,514.0,514.0,514.0,5.0,87.0,,,,,,,,,,,,7.0x7.0,7.0x7.0
2017,2017-01-01,F7R1,2990,UGT-1,107.5999985,54.5689964,20.0,208.5040682,M8,0.0,0.0,0.0,0.0,0.0,0.0,208.5040682,84.510568,26.5900002,34,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017-01-01,F7R1,2990,UGT-1,81.2315979,52.7620049,93.517258,7.390875,M4,0.0,0.0,0.0,7.390875,0.0,0.0,0.0,102.877779,33.3787766,34,F7,ENE,2016-12-30,2017-01-11,F7R1,31-A,31.0,Cierre,Primario,Noreste,10.625,7.0x7.0,5-87,,514,Blendex 950,nan,nan,PH07,7.0,,1.1,3.6,6.4,14.5,59292.5,90477.1,2990.0,,7.0,7.0,2016.0,Sí,514.0,514.0,514.0,5.0,87.0,,,,,,,,,,,,7.0x7.0,7.0x7.0
