Year;Fecha;Fase_geo;Banco;UGT_geo;SPI;UCS_MPA;RQD;TOTAL_MASS;M;M1;M2;M3;M4;M5;M7;M8;F80;AXB;UE_AXB;Fase_cat;MES_A_O;Fecha_de_tronadura;Fecha_Fotos;Fase_tron;Mallas_Tron;Malla_Med;Tipo_de_tronadura;Tipo_Material;Dominio_Estructural;Di_metro;BxS;Tiempo_entre_Pozos_Filas_ms;UGT_tron;Fc;Tipo_Explosivo;Taco_Gravilla_Aire;Comentarios;Pala_Cargador;Nro_Fotos;_1_1_4_In;P20;P50;P80;P100;Este;Norte;Cota;ton_por_hora;Burden;Espaciamiento;year;is_F9_or_F7;fc1;fc2;FC;tpozos_ms;tfilas_ms;taco;gravilla;aire;Fecha_tron_pri_prod;taco_gravilla;taco_intermedio;taco_aire;BxS_2;Taco_str;BxS_gravilla;BxS_gravilla_intermedio;BxS_cat;BxS_Taco
2022;20-03-2022;F9SE;3200;UGT-12;45.8804398;36.0782013;72.7;789.9931146;M2;0;789.9931146;0;0;0;0;0;102.980418;61.5872459;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-1;45.4890734;39.0194205;86.599373;662.1504585;M2;0;662.1504585;0;0;0;0;0;114.1635425;58.6366699;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-12;45.9482431;34.5941018;72.7;1380.765712;M2;0;1380.765712;0;0;0;0;0;102.9758079;62.2494847;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-12;45.3651736;57.8653126;72.7;9096.229318;M2;0;9096.229318;0;0;0;0;0;103.0102881;57.6555111;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-3;45.3832967;60.5747002;72.7;10021.4672;M2;0;10021.4672;0;0;0;0;0;103.0053611;58.2879803;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-12;45.7759461;57.648699;72.7;20622.57291;M2;0;20622.57291;0;0;0;0;0;102.9878592;60.5851154;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-1;45.7209627;36.973016;85.0428012;1121.143987;M2;0;1121.143987;0;0;0;0;0;112.9018628;60.1954309;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F9SE;3200;UGT-12;37.4912834;54.7621841;72.7;424.717455;M1;424.717455;0;0;0;0;0;0;97.560835;58.6385689;1;F9;01-03-2022 0:00;19-03-2022;26-03-2022;F9SE;01-04-A;1;Producción;Secundario;Norte;12.25;9.0x9.0;3-109;UGT-3;300;Vertex 950;4.5 + 1 / 0;nan;PH10;7;;0.51;1.57;3.35;15.75;59760;89527;3200;11953;;;2022;Sí;300;300;300;3;109;4.5;1;0;;4.5;1;0;;4.5+1.0/0.0;9.0x9.0/4.5;9.0x9.0/4.5int:1.0;9.0x9.0;9.0x9.0 - 4.5+1.0/0.0
2022;20-03-2022;F9SE;3200;UGT-3;45.615516;65.2828717;72.7;9553.914097;M2;0;9553.914097;0;0;0;0;0;103.0054294;58.285956;2;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;20-03-2022;F10N;3170;UGT-1;98.0616738;144.0619385;98.3416709;53.3707266;M3;0;0;53.3707266;0;0;0;0;105.5323648;32.4450023;34;F10;01-03-2022 0:00;12-03-2022;16-03-2022;F10N;10-13-A;13;Producción;Primario;Norte;12.25;6.5x8.0;ene-59;UGT-2;505;Vertex 950;5.0 / 0.0;nan;CF10;7;;1.26;2.59;4.38;7.82;59083;91070;3170;4410;;;2022;No;505;505;505;1;59;5;;0;12-03-2022;5;;0;;5.0/0.0;6.5x8.0/5.0;6.5x8.0/5.0int:0;6.5x8.0;6.5x8.0 - 5.0/0.0
2022;20-03-2022;F10N;3170;UGT-2;96.9735813;96.9044967;95.2988529;11179.37785;M4;0;0;0;11179.37785;0;0;0;103.9945743;32.798859;34;F10;01-04-2022 0:00;19-03-2022;04-04-2022;F10N;08-14-A;8;Producción;Primario;Norte;12.25;6.5x8.0;ene-59;UGT-1;517;Vertex 950;3.5 + 2.0 / 0;nan;PH07;7;;0.51;1.93;5.35;25.28;59358;91398;3170;9047;6.5;8;2022;No;517;517;517;1;59;3.5;2;0;19-03-2022;3.5;2;0;;3.5+2.0/0.0;6.5x8.0/3.5;6.5x8.0/3.5int:2.0;6.5x8.0;6.5x8.0 - 3.5+2.0/0.0
2022;20-03-2022;F10N;3170;UGT-1;98.0908363;141.6820711;98.8039296;250.7441677;M4;0;0;0;250.7441677;0;0;0;106.076133;31.8887381;34;F10;01-04-2022 0:00;19-03-2022;04-04-2022;F10N;08-14-A;8;Producción;Primario;Norte;12.25;6.5x8.0;ene-59;UGT-1;517;Vertex 950;3.5 + 2.0 / 0;nan;PH07;7;;0.51;1.93;5.35;25.28;59358;91398;3170;9047;6.5;8;2022;No;517;517;517;1;59;3.5;2;0;19-03-2022;3.5;2;0;;3.5+2.0/0.0;6.5x8.0/3.5;6.5x8.0/3.5int:2.0;6.5x8.0;6.5x8.0 - 3.5+2.0/0.0
2022;20-03-2022;F10N;3170;UGT-2;96.3744757;112.6183563;97.3265931;1497.950331;M3;0;0;1497.950331;0;0;0;0;104.4592667;33.524593;34;F10;01-03-2022 0:00;12-03-2022;16-03-2022;F10N;10-13-A;13;Producción;Primario;Norte;12.25;6.5x8.0;ene-59;UGT-2;505;Vertex 950;5.0 / 0.0;nan;CF10;7;;1.26;2.59;4.38;7.82;59083;91070;3170;4410;;;2022;No;505;505;505;1;59;5;;0;12-03-2022;5;;0;;5.0/0.0;6.5x8.0/5.0;6.5x8.0/5.0int:0;6.5x8.0;6.5x8.0 - 5.0/0.0
2022;20-03-2022;F9SE;3200;UGT-12;38.3630372;54.9094867;72.7;6566.647822;M1;6566.647822;0;0;0;0;0;0;97.6467242;57.9702016;1;F9;01-03-2022 0:00;19-03-2022;26-03-2022;F9SE;01-04-A;1;Producción;Secundario;Norte;12.25;9.0x9.0;3-109;UGT-3;300;Vertex 950;4.5 + 1 / 0;nan;PH10;7;;0.51;1.57;3.35;15.75;59760;89527;3200;11953;;;2022;Sí;300;300;300;3;109;4.5;1;0;;4.5;1;0;;4.5+1.0/0.0;9.0x9.0/4.5;9.0x9.0/4.5int:1.0;9.0x9.0;9.0x9.0 - 4.5+1.0/0.0
2022;20-03-2022;F9SE;3200;UGT-1;37.5945859;58.2619039;89.1214366;14867.1401;M1;14867.1401;0;0;0;0;0;0;108.4293285;55.7734457;1;F9;01-03-2022 0:00;19-03-2022;26-03-2022;F9SE;01-04-A;1;Producción;Secundario;Norte;12.25;9.0x9.0;3-109;UGT-3;300;Vertex 950;4.5 + 1 / 0;nan;PH10;7;;0.51;1.57;3.35;15.75;59760;89527;3200;11953;;;2022;Sí;300;300;300;3;109;4.5;1;0;;4.5;1;0;;4.5+1.0/0.0;9.0x9.0/4.5;9.0x9.0/4.5int:1.0;9.0x9.0;9.0x9.0 - 4.5+1.0/0.0
2022;20-03-2022;F9SE;3200;UGT-3;34.9442774;65.7576575;72.7;1482.251861;M1;1482.251861;0;0;0;0;0;0;97.7018634;57.5531783;1;F9;01-03-2022 0:00;19-03-2022;26-03-2022;F9SE;01-04-A;1;Producción;Secundario;Norte;12.25;9.0x9.0;3-109;UGT-3;300;Vertex 950;4.5 + 1 / 0;nan;PH10;7;;0.51;1.57;3.35;15.75;59760;89527;3200;11953;;;2022;Sí;300;300;300;3;109;4.5;1;0;;4.5;1;0;;4.5+1.0/0.0;9.0x9.0/4.5;9.0x9.0/4.5int:1.0;9.0x9.0;9.0x9.0 - 4.5+1.0/0.0
2022;20-03-2022;F9SE;3200;UGT-3;37.7918473;68.9065444;72.7;7779.796331;M1;7779.796331;0;0;0;0;0;0;97.6951328;57.6056817;1;F9;01-03-2022 0:00;19-03-2022;26-03-2022;F9SE;01-04-A;1;Producción;Secundario;Norte;12.25;9.0x9.0;3-109;UGT-3;300;Vertex 950;4.5 + 1 / 0;nan;PH10;7;;0.51;1.57;3.35;15.75;59760;89527;3200;11953;;;2022;Sí;300;300;300;3;109;4.5;1;0;;4.5;1;0;;4.5+1.0/0.0;9.0x9.0/4.5;9.0x9.0/4.5int:1.0;9.0x9.0;9.0x9.0 - 4.5+1.0/0.0
2022;21-03-2022;F9SE;3230;UGT-8;59.6576892;82.2836743;62.1;6555.585428;M1;6555.585428;0;0;0;0;0;0;91.8543783;51.36271;1;F9;01-03-2022 0:00;16-03-2022;21-03-2022;F9SE;11-A;11;Producción;Secundario;Norte;12.25;12.0x13.5;3-175;UGT-3;264;Vertex 950;6 / 0;nan;PH10;7;;0.55;1.77;3.96;15.2;59698;90136;3230;8891;;;2022;Sí;264;264;264;3;175;6;;0;;6;;0;;6.0/0.0;12.0x13.5/6.0;12.0x13.5/6.0int:0;12.0x13.5;12.0x13.5 - 6.0/0.0
2022;21-03-2022;F9SE;3230;UGT-8;60.901013;81.9767009;69.3;6481.450105;M8;0;0;0;0;0;0;6481.450105;96.4110799;51.5925144;1;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;21-03-2022;F9SE;3230;UGT-3;60.7829094;82.1085281;69.3;1668.395825;M8;0;0;0;0;0;0;1668.395825;96.373267;51.8156586;1;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;21-03-2022;F9SE;3230;UGT-8;58.8672676;81.4073639;69.3;0.0095806;M1;0.0095806;0;0;0;0;0;0;89.286368;39.7639732;34;F9;01-03-2022 0:00;16-03-2022;21-03-2022;F9SE;11-A;11;Producción;Secundario;Norte;12.25;12.0x13.5;3-175;UGT-3;264;Vertex 950;6 / 0;nan;PH10;7;;0.55;1.77;3.96;15.2;59698;90136;3230;8891;;;2022;Sí;264;264;264;3;175;6;;0;;6;;0;;6.0/0.0;12.0x13.5/6.0;12.0x13.5/6.0int:0;12.0x13.5;12.0x13.5 - 6.0/0.0
2022;21-03-2022;F9SE;3230;UGT-3;59.6682566;82.5206713;72.7;2636.692432;M1;2636.692432;0;0;0;0;0;0;98.678918;50.9944321;1;F9;01-03-2022 0:00;16-03-2022;21-03-2022;F9SE;11-A;11;Producción;Secundario;Norte;12.25;12.0x13.5;3-175;UGT-3;264;Vertex 950;6 / 0;nan;PH10;7;;0.55;1.77;3.96;15.2;59698;90136;3230;8891;;;2022;Sí;264;264;264;3;175;6;;0;;6;;0;;6.0/0.0;12.0x13.5/6.0;12.0x13.5/6.0int:0;12.0x13.5;12.0x13.5 - 6.0/0.0
